rand10 byDestination Selection Sort
Flight Number,Destination,Departure Time,GateNumber
JF326,Batavia,19:53,W6
LQ237,Caney,09:00,G3
WL004,Hesler,10:16,L7
HL875,Likely,05:33,T9
MT099,Michie,19:17,Q2
EA731,Popejoy,06:25,C6
JD033,Tacoma,15:31,A5
OY170,Upson,21:37,E2
BZ911,Warrensburg,15:38,Z0
GY885,Wind Lake,16:54,T2
*
rand10 byDeparture Selection Sort
Flight Number,Destination,Departure Time,GateNumber
HL875,Likely,05:33,T9
EA731,Popejoy,06:25,C6
LQ237,Caney,09:00,G3
WL004,Hesler,10:16,L7
JD033,Tacoma,15:31,A5
BZ911,Warrensburg,15:38,Z0
GY885,Wind Lake,16:54,T2
MT099,Michie,19:17,Q2
JF326,Batavia,19:53,W6
OY170,Upson,21:37,E2
*
rand10 byDestination Bubble Sort
Flight Number,Destination,Departure Time,GateNumber
JF326,Batavia,19:53,W6
LQ237,Caney,09:00,G3
WL004,Hesler,10:16,L7
HL875,Likely,05:33,T9
MT099,Michie,19:17,Q2
EA731,Popejoy,06:25,C6
JD033,Tacoma,15:31,A5
OY170,Upson,21:37,E2
BZ911,Warrensburg,15:38,Z0
GY885,Wind Lake,16:54,T2
*
rand10 byDeparture Bubble Sort
Flight Number,Destination,Departure Time,GateNumber
HL875,Likely,05:33,T9
EA731,Popejoy,06:25,C6
LQ237,Caney,09:00,G3
WL004,Hesler,10:16,L7
JD033,Tacoma,15:31,A5
BZ911,Warrensburg,15:38,Z0
GY885,Wind Lake,16:54,T2
MT099,Michie,19:17,Q2
JF326,Batavia,19:53,W6
OY170,Upson,21:37,E2
*
rand10 byDestination Insertion Sort
Flight Number,Destination,Departure Time,GateNumber
JF326,Batavia,19:53,W6
LQ237,Caney,09:00,G3
WL004,Hesler,10:16,L7
HL875,Likely,05:33,T9
MT099,Michie,19:17,Q2
EA731,Popejoy,06:25,C6
JD033,Tacoma,15:31,A5
OY170,Upson,21:37,E2
BZ911,Warrensburg,15:38,Z0
GY885,Wind Lake,16:54,T2
*
rand10 byDeparture Insertion Sort
Flight Number,Destination,Departure Time,GateNumber
OY170,Upson,21:37,E2
JD033,Tacoma,15:31,A5
WL004,Hesler,10:16,L7
LQ237,Caney,09:00,G3
BZ911,Warrensburg,15:38,Z0
GY885,Wind Lake,16:54,T2
HL875,Likely,05:33,T9
EA731,Popejoy,06:25,C6
JF326,Batavia,19:53,W6
MT099,Michie,19:17,Q2
*
